year,place,indiaClass
2001,Andhra Pradesh,india
1970,Andhra Pradesh,india
2002,Andhra Pradesh,india
1987,Andhra Pradesh,india
1970,Andhra Pradesh,india
2003,Andhra Pradesh,india
2016,Andhra Pradesh,india
2017,Andhra Pradesh,india
2011,Arunachal Pradesh,india
1987,Assam,india
1970,Assam,india
2010,Assam,india
1971,Assam,india
1983,Assam,india
2001,Assam,india
2009,Assam,india
2007,Assam,india
2016,Assam,india
2017,Assam,india
1977,Assam,india
2003,Assam,india
2016,Assam,india
2017,Assam,india
1955,Assam,india
1967,Assam,india
2015,Assam,india
1988,Assam,india
2011,Assam,india
1957,Assam,india
1976,Assam,india
1990,Assam,india
2016,Assam,india
2017,Assam,india
1989,Assam,india
1991,Assam,india
2008,Assam,india
1984,Assam,india
1992,Assam,india
2007,Assam,india
1970,Assam,india
1975,Bihar,india
1985,Bihar,india
2005,Bihar,india
2013,Bihar,india
1989,Bihar,india
1982,Bihar,india
2013,Bihar,india
1970,Bihar,india
1962,Bihar,india
1991,Bihar,india
2009,Bihar,india
2003,Bihar,india
1960,Bihar,india
1972,Bihar,india
1957,Bihar,india
1991,Bihar,india
1985,Bihar,india
2015,Bihar,india
1961,Bihar,india
1983,Chandigarh,india
1973,Chandigarh,india
1998,Chandigarh,india
2008,Chandigarh,india
2005,Chandigarh,india
2006,Chandigarh,india
1972,Chandigarh,india
1969,Chandigarh,india
2009,Chandigarh,india
1982,Chandigarh,india
1957,Chandigarh,india
1971,Chandigarh,india
2007,Chattisgarh,india
1976,Chattisgarh,india
2010,Chattisgarh,india
1967,Goa,india
2015,Goa,india
2010,Goa,india
2002,Goa,india
2008,Goa,india
2010,Goa,india
2009,Goa,india
2004,Gujarat,india
1975,Gujarat,india
2007,Gujarat,india
2008,Gujarat,india
1967,Gujarat,india
2016,Gujarat,india
2017,Gujarat,india
1992,Gujarat,india
2013,Gujarat,india
2014,Gujarat,india
1962,Gujarat,india
1992,Gujarat,india
2014,Gujarat,india
2015,Gujarat,india
1983,Gujarat,india
1967,Gujarat,india
1976,Gujarat,india
2004,Gujarat,india
1958,Gujarat,india
2011,Gujarat,india
2006,Gujarat,india
1974,Gujarat,india
2015,Gujarat,india
2006,Haryana,india
2016,Haryana,india
2017,Haryana,india
2012,Haryana,india
2005,Haryana,india
2008,Haryana,india
2002,Haryana,india
1990,Himachal Pradesh,india
2015,Himachal Pradesh,india
2011,Himachal Pradesh,india
2000,Jammu & Kashmir,india
1968,Jammu & Kashmir,india
2005,Jammu & Kashmir,india
2008,Jammu & Kashmir,india
1962,Jammu & Kashmir,india
2005,Jammu & Kashmir,india
2010,Jammu & Kashmir,india
2010,Jammu & Kashmir,india
2006,Jammu & Kashmir,india
1989,Jammu & Kashmir,india
1976,Jammu & Kashmir,india
2011,Jammu & Kashmir,india
1990,Jammu & Kashmir,india
2011,Jammu & Kashmir,india
2014,Jammu & Kashmir,india
2008,Jammu & Kashmir,india
2009,Kerala,india
1999,Kerala,india
2007,Kerala,india
1968,Kerala,india
1959,Kerala,india
1998,Kerala,india
2000,Kerala,india
1965,Kerala,india
1971,Kerala,india
1988,Kerala,india
2001,Kerala,india
2004,Kerala,india
1973,Kerala,india
2008,Kerala,india
2005,Kerala,india
1974,Kerala,india
2005,Kerala,india
1975,Kerala,india
1973,Kerala,india
2006,Kerala,india
2015,Kerala,india
1987,Kerala,india
2011,Kerala,india
1998,Kerala,india
2003,Kerala,india
2004,Kerala,india
2012,Kerala,india
1973,Kerala,india
1967,Kerala,india
2006,Kerala,india
1984,Kerala,india
1985,Kerala,india
1974,Kerala,india
1982,Kerala,india
1954,Kerala,india
2008,Kerala,india
2014,Kerala,india
2009,Madhya Pradesh,india
1999,Madhya Pradesh,india
1972,Madhya Pradesh,india
2010,Madhya Pradesh,india
1961,Madhya Pradesh,india
2015,Madhya Pradesh,india
1985,Madhya Pradesh,india
1972,Madhya Pradesh,india
1992,Madhya Pradesh,india
1970,Madhya Pradesh,india
1963,Madhya Pradesh,india
2003,Madhya Pradesh,india
2005,Madhya Pradesh,india
1966,Madhya Pradesh,india
1991,Madhya Pradesh,india
2004,Madhya Pradesh,india
1974,Madhya Pradesh,india
1999,Madhya Pradesh,india
1958,Madhya Pradesh,india
1972,Madhya Pradesh,india
1971,Madhya Pradesh,india
2012,Madhya Pradesh,india
1966,Madhya Pradesh,india
1990,Manipur,india
1985,Manipur,india
1971,Manipur,india
2000,Manipur,india
1987,Manipur,india
1976,Manipur,india
1992,Manipur,india
1999,Manipur,india
2014,Manipur,india
2010,Meghalaya,india
1977,Meghalaya,india
2004,Meghalaya,india
2005,Meghalaya,india
2005,Meghalaya,india
2011,Mizoram,india
2014,Mizoram,india
2005,Mizoram,india
2013,Mizoram,india
1985,Mizoram,india
1987,Mizoram,india
2007,Mizoram,india
1998,Mizoram,india
2009,Mizoram,india
2006,Mizoram,india
2010,Mizoram,india
1986,Mizoram,india
2000,Mizoram,india
1991,Mizoram,india
2012,Mizoram,india
1984,Nagaland,india
2003,Nagaland,india
1960,Odisha,india
1986,Odisha,india
1981,Odisha,india
2016,Odisha,india
2017,Odisha,india
2009,Odisha,india
1971,Odisha,india
1976,Odisha,india
1955,Odisha,india
1967,Odisha,india
1961,Odisha,india
1955,Odisha,india
2007,Odisha,india
1990,Odisha,india
1968,Odisha,india
2006,Odisha,india
1974,Odisha,india
2003,Odisha,india
2011,Odisha,india
1962,Odisha,india
2008,Odisha,india
1991,Odisha,india
1990,Odisha,india
2009,Puducherry,india
2001,Puducherry,india
1985,Puducherry,india
1971,Punjab,india
2016,Punjab,india
2017,Punjab,india
1966,Punjab,india
2004,Punjab,india
1970,Punjab,india
1984,Punjab,india
1985,Punjab,india
1998,Punjab,india
1976,Punjab,india
1974,Punjab,india
1975,Punjab,india
1971,Punjab,india
1969,Punjab,india
1954,Punjab,india
1984,Punjab,india
1987,Punjab,india
1991,Punjab,india
2012,Punjab,india
1990,Punjab,india
1956,Punjab,india
1970,Punjab,india
1970,Punjab,india
2010,Rajasthan,india
2011,Rajasthan,india
1982,Rajasthan,india
1965,Rajasthan,india
1983,Rajasthan,india
1964,Rajasthan,india
1984,Rajasthan,india
1961,Rajasthan,india
1958,Rajasthan,india
1955,Rajasthan,india
1977,Rajasthan,india
1956,Rajasthan,india
2007,Rajasthan,india
2006,Rajasthan,india
2005,Sikkim,india
2012,Sikkim,india
2009,Sikkim,india
1973,Telangana,india
2001,Telangana,india
2002,Telangana,india
2004,Telangana,india
1977,Telangana,india
1992,Telangana,india
1973,Telangana,india
2001,Telangana,india
2014,Telangana,india
2007,Telangana,india
2011,Telangana,india
2016,Telangana,india
2017,Telangana,india
1966,Telangana,india
1991,Telangana,india
2001,Telangana,india
1985,Telangana,india
2011,Uttarakhand,india
2012,Uttarakhand,india
1984,Uttarakhand,india
1990,Uttarakhand,india
2004,Uttarakhand,india
1999,Uttarakhand,india
2014,Uttarakhand,india
2007,Uttarakhand,india
1956,Uttarakhand,india
1999,Andaman & Nicobar,india
1984,Andhra Pradesh,india
1976,Andhra Pradesh,india
1970,Andhra Pradesh,india
1961,Andhra Pradesh,india
1962,Andhra Pradesh,india
2016,Andhra Pradesh,india
2017,Andhra Pradesh,india
1988,Andhra Pradesh,india
1969,Andhra Pradesh,india
1954,Assam,india
1992,Assam,india
1984,Assam,india
1963,Assam,india
1983,Assam,india
1971,Bihar,india
1982,Bihar,india
1962,Bihar,india
2004,Bihar,india
2008,Bihar,india
2012,Bihar,india
1974,Bihar,india
2014,Bihar,india
1964,Bihar,india
2015,Bihar,india
2010,Bihar,india
1962,Bihar,india
1966,Bihar,india
1983,Bihar,india
2008,Bihar,india
2003,Bihar,india
1992,Chandigarh,india
2007,Chandigarh,india
2008,Chandigarh,india
2006,Chandigarh,india
2000,Chandigarh,india
1983,Chandigarh,india
1982,Chandigarh,india
1972,Chandigarh,india
1987,Chandigarh,india
2015,Chandigarh,india
2004,Chattisgarh,india
2011,Chattisgarh,india
2012,Daman & Diu,india
1971,Goa,india
1981,Gujarat,india
1956,Gujarat,india
2015,Gujarat,india
2014,Gujarat,india
1975,Gujarat,india
2016,Gujarat,india
2017,Gujarat,india
2015,Gujarat,india
1988,Gujarat,india
2014,Haryana,india
2000,Haryana,india
1991,Haryana,india
1969,Haryana,india
2014,Haryana,india
2014,Haryana,india
2009,Himachal Pradesh,india
1975,Jammu & Kashmir,india
1984,Jammu & Kashmir,india
2006,Jammu & Kashmir,india
2011,Kerala,india
1992,Kerala,india
2010,Kerala,india
2009,Kerala,india
2012,Kerala,india
1964,Kerala,india
2011,Kerala,india
2011,Kerala,india
2015,Kerala,india
1976,Kerala,india
2014,Kerala,india
2001,Kerala,india
1985,Kerala,india
1990,Kerala,india
1975,Kerala,india
1984,Kerala,india
1999,Kerala,india
2010,Kerala,india
1955,Kerala,india
2010,Kerala,india
2009,Kerala,india
2003,Kerala,india
2008,Kerala,india
1992,Madhya Pradesh,india
1973,Madhya Pradesh,india
1976,Madhya Pradesh,india
1971,Madhya Pradesh,india
2008,Manipur,india
2001,Manipur,india
2015,Manipur,india
1968,Odisha,india
1984,Odisha,india
2006,Odisha,india
2013,Odisha,india
1987,Punjab,india
1981,Punjab,india
2009,Punjab,india
1957,Punjab,india
1964,Punjab,india
1963,Punjab,india
1982,Punjab,india
2014,Punjab,india
1962,Punjab,india
1956,Punjab,india
1967,Punjab,india
2014,Rajasthan,india
1981,Rajasthan,india
1985,Rajasthan,india
1962,Rajasthan,india
2015,Rajasthan,india
2009,Telangana,india
2016,Telangana,india
2017,Telangana,india
2002,Telangana,india
2001,Telangana,india
2013,Telangana,india
2001,Telangana,india
2001,Telangana,india
2002,Telangana,india
2016,Telangana,india
2017,Telangana,india
2016,Telangana,india
2017,Telangana,india
2002,Telangana,india
2000,Telangana,india
2015,Telangana,india
2005,Telangana,india
1970,Telangana,india
1977,Telangana,india
1986,Telangana,india
2015,Telangana,india
2014,Telangana,india
1992,Tripura,india
1999,Uttarakhand,india
2008,Uttarakhand,india
2011,Andaman & Nicobar,india
2015,Arunachal Pradesh,india
2015,Assam,india
2014,Goa,india
2012,Gujarat,india
2006,Haryana,india
1990,Himachal Pradesh,india
2015,Jammu & Kashmir,india
2010,Jammu & Kashmir,india
2012,Puducherry,india
2012,Rajasthan,india
2005,Uttarakhand,india
2007,Uttarakhand,india
2010,Uttarakhand,india
2009,Uttarakhand,india
2015,Uttarakhand,india
1965,Andhra Pradesh,india
1960,Andhra Pradesh,india
1975,Andhra Pradesh,india
1954,Andhra Pradesh,india
1954,Andhra Pradesh,india
1991,Andhra Pradesh,india
1957,Andhra Pradesh,india
1992,Andhra Pradesh,india
1954,Assam,india
1992,Assam,india
1999,Assam,india
1999,Bihar,india
1962,Bihar,india
1956,Bihar,india
1961,Bihar,india
2006,Chandigarh,india
1977,Chandigarh,india
1992,Goa,india
1991,Gujarat,india
1997,Gujarat,india
2014,Gujarat,india
1991,Gujarat,india
1991,Gujarat,india
1954,Gujarat,india
1991,Gujarat,india
1970,Haryana,india
2008,Jammu & Kashmir,india
1972,Jammu & Kashmir,india
2014,Jammu & Kashmir,india
1966,Kerala,india
2007,Kerala,india
1957,Kerala,india
1954,Kerala,india
1999,Kerala,india
1991,Madhya Pradesh,india
1970,Madhya Pradesh,india
1956,Madhya Pradesh,india
1998,Madhya Pradesh,india
1967,Madhya Pradesh,india
1964,Madhya Pradesh,india
1968,Madhya Pradesh,india
1957,Manipur,india
2009,Meghalaya,india
2009,Nagaland,india
2016,Nagaland,india
2017,Nagaland,india
1972,Odisha,india
1960,Odisha,india
1975,Odisha,india
1954,Punjab,india
1991,Punjab,india
2015,Punjab,india
1998,Punjab,india
1992,Punjab,india
1973,Rajasthan,india
1958,Rajasthan,india
1977,Telangana,india
1965,Telangana,india
1956,Telangana,india
1962,Telangana,india
2012,Telangana,india
1992,Telangana,india
2010,Telangana,india
1954,Telangana,india
1963,Telangana,india
1960,Andhra Pradesh,india
1972,Andhra Pradesh,india
1964,Andhra Pradesh,india
1991,Andhra Pradesh,india
1959,Andhra Pradesh,india
2009,Andhra Pradesh,india
2002,Andhra Pradesh,india
1957,Andhra Pradesh,india
2014,Andhra Pradesh,india
2013,Andhra Pradesh,india
1974,Bihar,india
1959,Chandigarh,india
2007,Chandigarh,india
1972,Chandigarh,india
1988,Chandigarh,india
1999,Chandigarh,india
1983,Goa,india
2014,Gujarat,india
1976,Gujarat,india
1971,Gujarat,india
1985,Gujarat,india
1999,Gujarat,india
1991,Gujarat,india
1965,Gujarat,india
1984,Gujarat,india
2004,Gujarat,india
2011,Gujarat,india
1967,Gujarat,india
1970,Gujarat,india
1973,Gujarat,india
1984,Gujarat,india
1985,Gujarat,india
2010,Gujarat,india
1982,Gujarat,india
1999,Gujarat,india
1966,Gujarat,india
1972,Gujarat,india
2003,Haryana,india
1991,Haryana,india
2003,Haryana,india
2012,Haryana,india
1972,Haryana,india
1999,Haryana,india
1968,Haryana,india
2007,Haryana,india
1970,Jammu & Kashmir,india
2012,Jammu & Kashmir,india
2000,Jharkhand,india
2012,Kerala,india
2002,Kerala,india
1977,Kerala,india
1998,Kerala,india
2011,Kerala,india
1976,Kerala,india
1972,Kerala,india
1990,Kerala,india
2014,Kerala,india
1990,Kerala,india
2003,Kerala,india
2010,Kerala,india
2002,Kerala,india
1982,Kerala,india
2000,Kerala,india
1968,Kerala,india
2003,Kerala,india
2005,Kerala,india
1969,Kerala,india
2005,Madhya Pradesh,india
2000,Madhya Pradesh,india
2014,Madhya Pradesh,india
2009,Meghalaya,india
2003,Odisha,india
1964,Odisha,india
1977,Odisha,india
1998,Odisha,india
1967,Punjab,india
1969,Punjab,india
1968,Punjab,india
1987,Punjab,india
1961,Punjab,india
1968,Punjab,india
1992,Punjab,india
1972,Punjab,india
1961,Punjab,india
1992,Punjab,india
1961,Punjab,india
1972,Punjab,india
1977,Punjab,india
2004,Punjab,india
1972,Punjab,india
1976,Punjab,india
1967,Rajasthan,india
1992,Rajasthan,india
1989,Rajasthan,india
1991,Telangana,india
2016,Telangana,india
2017,Telangana,india
1991,Telangana,india
2002,Telangana,india
2001,Telangana,india
2002,Telangana,india
2011,Telangana,india
2014,Telangana,india
2006,Telangana,india
2002,Telangana,india
2013,Telangana,india
2005,Telangana,india
2004,Telangana,india
1999,Telangana,india
1977,Telangana,india
2004,Telangana,india
1989,Telangana,india
2001,Telangana,india
2011,Telangana,india
1990,Telangana,india
2000,Telangana,india
2006,Telangana,india
1971,Telangana,india
1967,Telangana,india
1998,Telangana,india
2010,Telangana,india
1976,Tripura,india
1998,Uttarakhand,india
1982,Uttarakhand,india
2002,Uttarakhand,india
1967,Uttarakhand,india
1975,Uttarakhand,india
1977,Uttarakhand,india
1989,Andaman & Nicobar,india
1974,Andaman & Nicobar,india
1965,Andaman & Nicobar,india
1983,Andhra Pradesh,india
1957,Andhra Pradesh,india
2014,Andhra Pradesh,india
1975,Andhra Pradesh,india
2012,Andhra Pradesh,india
1982,Andhra Pradesh,india
1972,Andhra Pradesh,india
1967,Andhra Pradesh,india
2008,Andhra Pradesh,india
1955,Andhra Pradesh,india
1969,Andhra Pradesh,india
2016,Andhra Pradesh,india
2017,Andhra Pradesh,india
1973,Andhra Pradesh,india
2012,Arunachal Pradesh,india
2007,Arunachal Pradesh,india
2016,Assam,india
2017,Assam,india
1972,Assam,india
1982,Assam,india
2005,Assam,india
1975,Assam,india
2014,Assam,india
1963,Assam,india
1999,Assam,india
2000,Assam,india
1971,Assam,india
1969,Assam,india
2008,Assam,india
1962,Assam,india
1999,Bihar,india
1961,Bihar,india
1985,Bihar,india
1970,Bihar,india
1963,Bihar,india
1976,Bihar,india
1986,Bihar,india
1981,Bihar,india
2006,Bihar,india
1988,Chandigarh,india
1972,Chandigarh,india
2006,Chandigarh,india
2012,Chattisgarh,india
2012,Chattisgarh,india
2002,Goa,india
1985,Gujarat,india
1960,Gujarat,india
1985,Gujarat,india
1986,Gujarat,india
1992,Gujarat,india
1970,Gujarat,india
1990,Gujarat,india
1977,Gujarat,india
1991,Gujarat,india
2011,Gujarat,india
1961,Gujarat,india
2014,Gujarat,india
1961,Gujarat,india
1959,Gujarat,india
2004,Gujarat,india
2013,Gujarat,india
1990,Gujarat,india
1968,Gujarat,india
1964,Gujarat,india
1973,Gujarat,india
1969,Gujarat,india
2014,Haryana,india
2000,Haryana,india
1976,Haryana,india
1968,Haryana,india
1976,Haryana,india
1968,Haryana,india
2008,Himachal Pradesh,india
1972,Jammu & Kashmir,india
1966,Jammu & Kashmir,india
2012,Jammu & Kashmir,india
1998,Jammu & Kashmir,india
1987,Jammu & Kashmir,india
2015,Jharkhand,india
1998,Kerala,india
2009,Kerala,india
2010,Kerala,india
1966,Kerala,india
2016,Kerala,india
2017,Kerala,india
2009,Madhya Pradesh,india
1992,Madhya Pradesh,india
2015,Madhya Pradesh,india
1956,Madhya Pradesh,india
1998,Madhya Pradesh,india
1969,Madhya Pradesh,india
1968,Madhya Pradesh,india
1989,Madhya Pradesh,india
1968,Madhya Pradesh,india
1991,Madhya Pradesh,india
2010,Manipur,india
1984,Manipur,india
1985,Manipur,india
1975,Manipur,india
2000,Meghalaya,india
2004,Meghalaya,india
1990,Meghalaya,india
1974,Meghalaya,india
2005,Meghalaya,india
2003,Meghalaya,india
2003,Mizoram,india
1992,Mizoram,india
1987,Mizoram,india
2002,Mizoram,india
1988,Mizoram,india
2005,Mizoram,india
1998,Mizoram,india
1999,Mizoram,india
1981,Nagaland,india
1976,Nagaland,india
2006,Nagaland,india
1999,Nagaland,india
2000,Nagaland,india
1982,Nagaland,india
1966,Odisha,india
1959,Odisha,india
1970,Odisha,india
1959,Odisha,india
2001,Odisha,india
1969,Puducherry,india
2016,Puducherry,india
2017,Puducherry,india
1958,Punjab,india
1961,Punjab,india
2008,Punjab,india
1981,Punjab,india
2010,Punjab,india
1991,Punjab,india
1976,Rajasthan,india
2008,Rajasthan,india
1971,Rajasthan,india
2008,Rajasthan,india
1989,Rajasthan,india
1965,Rajasthan,india
2015,Rajasthan,india
2001,Rajasthan,india
1973,Rajasthan,india
1986,Rajasthan,india
1991,Rajasthan,india
1975,Rajasthan,india
2009,Rajasthan,india
1968,Rajasthan,india
1971,Rajasthan,india
1971,Rajasthan,india
2009,Sikkim,india
2009,Telangana,india
1974,Telangana,india
1998,Telangana,india
2016,Telangana,india
2017,Telangana,india
1976,Telangana,india
2006,Uttarakhand,india
1986,Uttarakhand,india
1986,Uttarakhand,india
2007,Uttarakhand,india
1974,Uttarakhand,india
2007,Uttarakhand,india
1981,Uttarakhand,india
2016,Uttarakhand,india
2017,Uttarakhand,india
1971,Andhra Pradesh,india
1999,Andhra Pradesh,india
2007,Andhra Pradesh,india
2006,Arunachal Pradesh,india
1965,Assam,india
1984,Bihar,india
1990,Bihar,india
1970,Bihar,india
1957,Chandigarh,india
1967,Chandigarh,india
1959,Chandigarh,india
1982,Chandigarh,india
2015,Chattisgarh,india
1986,Gujarat,india
1960,Gujarat,india
1960,Gujarat,india
1973,Gujarat,india
2012,Haryana,india
2014,Haryana,india
1983,Haryana,india
1964,Haryana,india
1983,Haryana,india
1998,Haryana,india
2014,Haryana,india
2015,Haryana,india
2014,Haryana,india
2010,Haryana,india
2013,Haryana,india
2014,Haryana,india
1983,Jharkhand,india
2016,Jharkhand,india
2017,Jharkhand,india
2009,Jharkhand,india
2013,Jharkhand,india
2004,Kerala,india
2004,Kerala,india
1983,Kerala,india
1985,Kerala,india
2013,Madhya Pradesh,india
1963,Madhya Pradesh,india
2016,Madhya Pradesh,india
2017,Madhya Pradesh,india
2004,Manipur,india
1983,Manipur,india
2013,Manipur,india
2006,Manipur,india
2011,Manipur,india
2004,Odisha,india
2010,Odisha,india
2009,Punjab,india
1965,Punjab,india
2006,Punjab,india
2009,Punjab,india
2007,Punjab,india
1984,Punjab,india
1956,Punjab,india
2011,Punjab,india
2009,Punjab,india
1965,Punjab,india
1983,Punjab,india
1965,Punjab,india
1998,Punjab,india
1967,Punjab,india
1976,Punjab,india
2001,Punjab,india
2013,Rajasthan,india
2012,Rajasthan,india
2011,Rajasthan,india
2012,Rajasthan,india
1983,Rajasthan,india
2008,Sikkim,india
1984,Sikkim,india
1962,Sikkim,india
1965,Sikkim,india
1965,Sikkim,india
2011,Telangana,india
2015,Telangana,india
1988,Telangana,india
2003,Telangana,india
2015,Telangana,india
2014,Telangana,india
2005,Telangana,india
2012,Telangana,india
2010,Telangana,india
2016,Telangana,india
2017,Telangana,india
2006,Telangana,india
2016,Telangana,india
2017,Telangana,india
2011,Telangana,india
2003,Uttarakhand,india
2014,Uttarakhand,india
1991,Uttarakhand,india
1958,Andhra Pradesh,india
1971,Andhra Pradesh,india
1972,Andhra Pradesh,india
1969,Bihar,india
1991,Goa,india
2001,Gujarat,india
2010,Gujarat,india
1969,Gujarat,india
1971,Gujarat,india
1965,Gujarat,india
1966,Gujarat,india
2011,Haryana,india
2006,Haryana,india
2010,Himachal Pradesh,india
1974,Jammu & Kashmir,india
1989,Jharkhand,india
1971,Madhya Pradesh,india
1965,Odisha,india
1971,Punjab,india
2007,Punjab,india
2010,Punjab,india
1957,Rajasthan,india
1965,Rajasthan,india
1971,Rajasthan,india
2010,Telangana,india
2001,Telangana,india
2011,Telangana,india
2001,Telangana,india
2011,Telangana,india
2000,Telangana,india
2014,Telangana,india
2016,Bihar,india
2017,Bihar,india
2009,Tamil Nadu,india
2010,Tamil Nadu,india
1989,Tamil Nadu,india
1991,Tamil Nadu,india
2004,Tamil Nadu,india
2000,Tamil Nadu,india
1990,Tamil Nadu,india
1958,Tamil Nadu,india
2009,Tamil Nadu,india
2001,Tamil Nadu,india
1973,Tamil Nadu,india
2003,Tamil Nadu,india
1966,Tamil Nadu,india
2004,Tamil Nadu,india
2011,Tamil Nadu,india
1973,Tamil Nadu,india
1977,Tamil Nadu,india
1992,Tamil Nadu,india
1971,Tamil Nadu,india
1999,Tamil Nadu,india
1966,Tamil Nadu,india
2006,Tamil Nadu,india
2004,Tamil Nadu,india
2010,Tamil Nadu,india
2009,Tamil Nadu,india
2011,Tamil Nadu,india
1971,Tamil Nadu,india
1987,Tamil Nadu,india
1985,Tamil Nadu,india
1990,Tamil Nadu,india
2014,Tamil Nadu,india
1970,Tamil Nadu,india
2015,Tamil Nadu,india
1992,Tamil Nadu,india
2002,Tamil Nadu,india
1970,Tamil Nadu,india
1992,Tamil Nadu,india
2005,Tamil Nadu,india
2005,Tamil Nadu,india
1989,Tamil Nadu,india
1972,Tamil Nadu,india
2001,Tamil Nadu,india
1970,Tamil Nadu,india
1954,Tamil Nadu,india
2012,Tamil Nadu,india
1975,Tamil Nadu,india
1998,Tamil Nadu,india
2011,Tamil Nadu,india
1972,Tamil Nadu,india
1975,Tamil Nadu,india
1992,Tamil Nadu,india
2003,Tamil Nadu,india
1990,Tamil Nadu,india
1976,Tamil Nadu,india
2004,Tamil Nadu,india
1990,Tamil Nadu,india
2003,Tamil Nadu,india
1991,Tamil Nadu,india
1971,Tamil Nadu,india
2002,Tamil Nadu,india
2002,Tamil Nadu,india
1983,Tamil Nadu,india
2002,Tamil Nadu,india
2008,Tamil Nadu,india
1971,Tamil Nadu,india
1992,Tamil Nadu,india
2012,Tamil Nadu,india
1981,Tamil Nadu,india
1987,Tamil Nadu,india
1971,Tamil Nadu,india
2008,Tamil Nadu,india
1998,Tamil Nadu,india
2007,Tamil Nadu,india
1981,Tamil Nadu,india
2003,Tamil Nadu,india
1976,Tamil Nadu,india
1985,Tamil Nadu,india
2001,Tamil Nadu,india
1959,Tamil Nadu,india
1972,Tamil Nadu,india
1971,Tamil Nadu,india
2006,Tamil Nadu,india
1983,Tamil Nadu,india
2003,Tamil Nadu,india
2000,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1970,Tamil Nadu,india
1956,Tamil Nadu,india
2009,Tamil Nadu,india
1982,Tamil Nadu,india
2007,Tamil Nadu,india
2013,Tamil Nadu,india
2011,Tamil Nadu,india
2011,Tamil Nadu,india
2014,Tamil Nadu,india
1990,Tamil Nadu,india
1969,Tamil Nadu,india
2009,Tamil Nadu,india
2006,Tamil Nadu,india
2004,Tamil Nadu,india
2004,Tamil Nadu,india
2008,Tamil Nadu,india
2012,Tamil Nadu,india
2001,Tamil Nadu,india
1969,Tamil Nadu,india
2004,Tamil Nadu,india
2015,Tamil Nadu,india
1988,Tamil Nadu,india
2003,Tamil Nadu,india
1957,Tamil Nadu,india
1977,Tamil Nadu,india
2012,Tamil Nadu,india
2014,Tamil Nadu,india
1970,Tamil Nadu,india
2002,Tamil Nadu,india
1974,Tamil Nadu,india
2003,Tamil Nadu,india
2001,Tamil Nadu,india
2003,Tamil Nadu,india
2003,Tamil Nadu,india
1992,Tamil Nadu,india
1973,Tamil Nadu,india
1971,Tamil Nadu,india
1988,Tamil Nadu,india
2010,Tamil Nadu,india
2003,Tamil Nadu,india
1998,Tamil Nadu,india
2009,Tamil Nadu,india
2009,Tamil Nadu,india
1968,Tamil Nadu,india
2007,Tamil Nadu,india
1972,Tamil Nadu,india
1998,Tamil Nadu,india
1966,Tamil Nadu,india
1984,Tamil Nadu,india
1967,Tamil Nadu,india
2001,Tamil Nadu,india
1965,Tamil Nadu,india
1972,Tamil Nadu,india
1955,Tamil Nadu,india
1971,Tamil Nadu,india
2001,Tamil Nadu,india
2006,Tamil Nadu,india
1982,Tamil Nadu,india
2005,Tamil Nadu,india
1976,Tamil Nadu,india
1957,Tamil Nadu,india
1962,Tamil Nadu,india
1983,Tamil Nadu,india
1961,Tamil Nadu,india
1976,Tamil Nadu,india
1956,Tamil Nadu,india
1963,Tamil Nadu,india
2012,Tamil Nadu,india
1957,Tamil Nadu,india
2015,Tamil Nadu,india
1959,Tamil Nadu,india
1972,Tamil Nadu,india
1970,Tamil Nadu,india
2015,Tamil Nadu,india
1971,Tamil Nadu,india
1975,Tamil Nadu,india
1973,Tamil Nadu,india
1965,Tamil Nadu,india
1972,Tamil Nadu,india
1973,Tamil Nadu,india
2004,Tamil Nadu,india
1962,Tamil Nadu,india
1973,Tamil Nadu,india
1983,Tamil Nadu,india
1954,Tamil Nadu,india
2011,Tamil Nadu,india
2008,Tamil Nadu,india
1970,Tamil Nadu,india
2009,Tamil Nadu,india
1968,Tamil Nadu,india
1957,Tamil Nadu,india
1956,Tamil Nadu,india
1959,Tamil Nadu,india
1971,Tamil Nadu,india
2004,Tamil Nadu,india
1991,Tamil Nadu,india
1968,Tamil Nadu,india
1976,Tamil Nadu,india
1968,Tamil Nadu,india
2002,Tamil Nadu,india
1990,Tamil Nadu,india
1972,Tamil Nadu,india
1971,Tamil Nadu,india
1990,Tamil Nadu,india
1961,Tamil Nadu,india
1992,Tamil Nadu,india
2003,Tamil Nadu,india
2010,Tamil Nadu,india
2000,Tamil Nadu,india
1971,Tamil Nadu,india
1999,Tamil Nadu,india
1990,Tamil Nadu,india
1969,Tamil Nadu,india
1967,Tamil Nadu,india
1970,Tamil Nadu,india
2007,Tamil Nadu,india
1977,Tamil Nadu,india
1969,Tamil Nadu,india
1959,Tamil Nadu,india
1963,Tamil Nadu,india
2014,Tamil Nadu,india
1969,Tamil Nadu,india
1962,Tamil Nadu,india
2010,Tamil Nadu,india
1963,Tamil Nadu,india
2008,Tamil Nadu,india
1982,Tamil Nadu,india
2006,Tamil Nadu,india
1972,Tamil Nadu,india
1977,Tamil Nadu,india
1967,Tamil Nadu,india
2008,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1992,Tamil Nadu,india
1973,Tamil Nadu,india
2005,Tamil Nadu,india
2014,Tamil Nadu,india
1984,Tamil Nadu,india
2000,Tamil Nadu,india
2010,Tamil Nadu,india
