year,place,indiaClass
1977,Delhi,india
2010,Delhi,india
1991,Delhi,india
1999,Delhi,india
2002,Delhi,india
1990,Delhi,india
1975,Delhi,india
2014,Delhi,india
1970,Delhi,india
1969,Delhi,india
1958,Delhi,india
2002,Delhi,india
2003,Delhi,india
1965,Delhi,india
2008,Delhi,india
1972,Delhi,india
1971,Delhi,india
2013,Delhi,india
1999,Delhi,india
2006,Delhi,india
1984,Delhi,india
2006,Delhi,india
1967,Delhi,india
2012,Delhi,india
1986,Delhi,india
1971,Delhi,india
1982,Delhi,india
1970,Delhi,india
1972,Delhi,india
2007,Delhi,india
1975,Delhi,india
2012,Delhi,india
2007,Delhi,india
2015,Delhi,india
1992,Delhi,india
2008,Delhi,india
1977,Delhi,india
1992,Delhi,india
2001,Delhi,india
1970,Delhi,india
1971,Delhi,india
2005,Delhi,india
1983,Delhi,india
1976,Delhi,india
1965,Delhi,india
1992,Delhi,india
2002,Delhi,india
1974,Delhi,india
1991,Delhi,india
1991,Delhi,india
2006,Delhi,india
1965,Delhi,india
1967,Delhi,india
2005,Delhi,india
1983,Delhi,india
2005,Delhi,india
2012,Delhi,india
2000,Delhi,india
1983,Delhi,india
2015,Delhi,india
1992,Delhi,india
2011,Delhi,india
1986,Delhi,india
2010,Delhi,india
2011,Delhi,india
2008,Delhi,india
2011,Delhi,india
1972,Delhi,india
2005,Delhi,india
1971,Delhi,india
2010,Delhi,india
1966,Delhi,india
1970,Delhi,india
1971,Delhi,india
2003,Delhi,india
1971,Delhi,india
1991,Delhi,india
2016,Delhi,india
2017,Delhi,india
2010,Delhi,india
2016,Delhi,india
2017,Delhi,india
2001,Delhi,india
2008,Delhi,india
2012,Delhi,india
1969,Delhi,india
2016,Delhi,india
2017,Delhi,india
2006,Delhi,india
2007,Delhi,india
2008,Delhi,india
2013,Delhi,india
2010,Karnataka,india
2013,Karnataka,india
1981,Karnataka,india
1991,Karnataka,india
1975,Karnataka,india
1969,Karnataka,india
1992,Karnataka,india
1988,Karnataka,india
1958,Karnataka,india
1971,Karnataka,india
2002,Karnataka,india
1992,Karnataka,india
2011,Karnataka,india
1974,Karnataka,india
1972,Karnataka,india
2004,Karnataka,india
1992,Karnataka,india
1959,Karnataka,india
2005,Karnataka,india
2001,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
1970,Karnataka,india
1976,Karnataka,india
1992,Karnataka,india
2010,Karnataka,india
2005,Karnataka,india
2012,Karnataka,india
2012,Karnataka,india
1976,Karnataka,india
2011,Karnataka,india
1971,Karnataka,india
1983,Karnataka,india
1983,Karnataka,india
1961,Karnataka,india
1973,Karnataka,india
1972,Karnataka,india
1972,Karnataka,india
1973,Karnataka,india
1955,Karnataka,india
1954,Karnataka,india
1974,Karnataka,india
1955,Karnataka,india
1981,Karnataka,india
1959,Karnataka,india
1972,Karnataka,india
2006,Karnataka,india
1973,Karnataka,india
1966,Karnataka,india
1985,Karnataka,india
1972,Karnataka,india
1990,Karnataka,india
2005,Karnataka,india
1974,Karnataka,india
1954,Karnataka,india
1960,Karnataka,india
1972,Karnataka,india
1966,Karnataka,india
