user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
fazhussa,75,53,9,13.54,9310,9450,9310,9310,164.5
fazhussa,77,55,10,17.82,9380,9310,9310,9310,159
fazhussa,83,47,11,31.06,9590,10010,9590,10010,161
fazhussa,72,53,12,32.61,9380,9380,9380,9380,161.5
fazhussa,75,55,11,14.51,8680,8750,8680,8750,159
fazhussa,0,0,0,12.57,0,0,0,0,
fazhussa,78,51,10,14.2,9100,8960,9100,9100,163
fazhussa,78,49,10,15.16,9310,9450,9310,9450,158.5
fazhussa,74,56,12,16.83,8540,8540,8540,8470,162.5
fazhussa,68,49,10,13.22,9450,9450,9450,9450,157
fazhussa,71,52,10,14.47,9310,9380,9310,9310,164.5
fazhussa,79,54,10,14.74,9310,9380,9310,9310,167.5
fazhussa,81,54,11,14.39,9380,9380,9310,9310,166.5
fazhussa,75,55,9,13.04,8960,8960,8960,8960,164
mdmia,40,33,9,24.97,9380,9450,9450,9450,85.5
mdmia,41,34,13,34.53,8750,8750,8890,8750,72
shahrahm,75,43,9,5.94,8750,8680,8680,8680,132
shahrahm,75,56,9,5.59,10080,9170,10080,9170,145
shahrahm,65,53,9,9.72,8120,8050,8050,8120,131
shahrahm,75,55,12,57.49,8680,8540,8540,8540,145
shahrahm,66,48,10,4.24,9100,9100,9100,9170,140
shahrahm,72,50,9,5.89,8120,8050,8120,8120,141
shahrahm,49,38,11,5.61,5740,5670,5740,5740,71
shahrahm,62,47,16,7.48,11130,11130,11130,11130,131.5
shahrahm,69,54,10,4.44,7490,7490,7490,7420,133
shahrahm,65,76,10,6,8750,8890,8890,8890,133
stalukde,63,44,9,4.01,10290,10220,10290,10220,128
stalukde,47,39,9,8.36,9450,9450,9380,9450,123
stalukde,55,43,10,18.23,8260,8260,8120,8260,126
stalukde,62,46,9,10.38,8470,8680,8470,8680,129.5
stalukde,65,50,11,4.25,8960,8960,8960,8890,128.5
stalukde,71,52,14,5.81,9310,9310,9310,9380,133.5
stalukde,69,49,11,5.25,8120,8120,8260,8120,130
stalukde,57,46,11,4.72,8890,8890,8890,8960,130.5
stalukde,77,46,11,4.57,8890,8890,8890,8960,128.5
stalukde,53,52,0,5.48,0,0,0,0,129.5
stalukde,76,43,9,24.86,9170,9170,9170,9170,120.5
stalukde,62,47,10,8.81,9170,9170,9310,9170,125
stalukde,59,44,9,5.37,8750,8680,8680,8680,129.5
stalukde,61,44,9,7.82,8680,8680,8680,8680,133
stalukde,59,43,9,4.5,9310,9310,9310,9310,121
stalukde,72,53,9,4.88,8470,8470,8470,8470,129
stalukde,57,45,9,9.25,8890,8960,8960,8960,125.5
stalukde,54,44,17,11.86,9310,9310,9310,9310,123
stalukde,71,52,12,6.65,8120,8050,8050,8050,127
stalukde,63,44,9,12.65,9170,9100,9310,9170,123.5
stalukde,51,42,9,4.64,9170,9170,9170,9170,124
stalukde,73,47,10,4.57,8470,8330,8470,8330,124.5
stalukde,56,47,10,4.98,9170,9310,9170,9170,127.5
stalukde,71,50,11,7.75,8120,8120,8050,8050,124
stalukde,70,50,10,6.56,7630,7700,7630,7700,123
stalukde,71,46,11,5.12,8260,8260,8120,8260,128.5
stalukde,59,50,11,17.43,8260,8260,8120,8260,122.5
stalukde,61,45,9,6.24,7840,7910,7910,7840,121.5
stalukde,58,43,10,15.86,8680,8680,8750,8680,122.5
stalukde,60,51,10,10.94,9310,9170,9170,9170,125.5
esowell,40,29,9,18.07,8680,8540,8680,8540,74
esowell,34,28,14,24.73,12040,12040,12040,11970,76.5
esowell,0,33,11,22.51,9870,9590,9800,9590,78.5
esowell,45,36,10,16.2,7490,7490,7420,7490,86
esowell,32,28,11,20.98,9590,10010,9450,10010,71
esowell,34,24,12,9.45,10710,10710,10850,10710,68.5
