Job,Type_Node,Rack,Node,Month,Day,Time,Year,Nodes,N,NB,P,Q,time,gflops,class
345776,cpu,6,2,Mar,2,17:04:36,2021,1,141696,192,6,6,1908.54,993.77,Medium
345777,cpu,6,3,Mar,2,17:06:50,2021,1,141696,192,6,6,1907.4,994.37,Medium
345778,cpu,6,4,Mar,2,16:17:55,2021,1,141696,192,6,6,2010.73,943.26,Medium
345779,cpu,6,5,Mar,2,13:42:28,2021,1,141696,192,6,6,1950.18,972.55,Medium
345780,cpu,6,6,Mar,2,16:15:17,2021,1,141696,192,6,6,1851.93,1024.1,High
345781,cpu,6,7,Mar,2,16:07:42,2021,1,141696,192,6,6,2016.72,940.47,Medium
345782,cpu,6,8,Mar,2,17:04:21,2021,1,141696,192,6,6,1891.2,1002.9,High
345783,cpu,6,10,Mar,2,16:15:53,2021,1,141696,192,6,6,1890.23,1003.4,High
345784,cpu,6,11,Mar,2,16:59:37,2021,1,141696,192,6,6,1895.97,1000.4,High
345785,cpu,6,12,Mar,2,16:26:20,2021,1,141696,192,6,6,1870.39,1014,High
345787,cpu,6,14,Mar,2,17:51:49,2021,1,141696,192,6,6,1918.14,988.8,Medium
345789,cpu,6,16,Mar,2,16:48:21,2021,1,141696,192,6,6,1892.52,1002.2,High
345790,cpu,6,17,Mar,2,16:49:17,2021,1,141696,192,6,6,1959.22,968.07,Medium
345791,cpu,6,18,Mar,2,16:36:48,2021,1,141696,192,6,6,1851.24,1024.5,High
345792,cpu,6,19,Mar,2,17:12:24,2021,1,141696,192,6,6,1907.36,994.39,Medium
345793,cpu,6,20,Mar,2,16:16:34,2021,1,141696,192,6,6,1931.63,981.89,Medium
345794,cpu,7,1,Mar,2,17:13:30,2021,1,141696,192,6,6,1976.18,959.76,Medium
345796,cpu,7,2,Mar,2,13:36:55,2021,1,141696,192,6,6,1920.63,987.52,Medium
345797,cpu,7,3,Mar,2,17:17:13,2021,1,141696,192,6,6,1943.29,976,Medium
345798,cpu,7,9,Mar,3,9:07:20,2021,1,141696,192,6,6,1908.2,993.95,Medium
345799,cpu,7,10,Mar,2,16:42:29,2021,1,141696,192,6,6,1868.99,1014.8,High
345800,cpu,7,11,Mar,2,14:23:58,2021,1,141696,192,6,6,1980.5,957.66,Medium
345801,cpu,7,12,Mar,2,15:47:36,2021,1,141696,192,6,6,2046.27,926.89,Medium
345802,cpu,7,13,Mar,2,16:01:07,2021,1,141696,192,6,6,1931.83,981.79,Medium
345804,cpu,7,14,Mar,2,16:01:25,2021,1,141696,192,6,6,1948.12,973.58,Medium
345805,cpu,7,15,Mar,2,16:06:09,2021,1,141696,192,6,6,1925.68,984.93,Medium
345806,cpu,7,16,Mar,2,21:41:36,2021,1,141696,192,6,6,2018.52,939.63,Medium
345807,cpu,7,17,Mar,2,16:06:59,2021,1,141696,192,6,6,1972.88,961.36,Medium
345808,cpu,7,18,Mar,2,13:36:33,2021,1,141696,192,6,6,1901.7,997.35,Medium
345809,cpu,7,19,Mar,2,16:27:36,2021,1,141696,192,6,6,1947.62,973.83,Medium
345810,cpu,7,21,Mar,2,15:20:15,2021,1,141696,192,6,6,1927.52,983.99,Medium
345811,cpu,7,22,Mar,2,16:11:17,2021,1,141696,192,6,6,1925.47,985.04,Medium
345812,cpu,7,23,Mar,2,21:39:24,2021,1,141696,192,6,6,1908.79,993.64,Medium
345813,cpu,7,24,Mar,2,16:06:14,2021,1,141696,192,6,6,1931.36,982.03,Medium
345814,cpu,7,25,Mar,2,14:28:31,2021,1,141696,192,6,6,1939.35,977.98,Medium
345815,cpu,7,26,Mar,2,16:17:25,2021,1,141696,192,6,6,1981.65,957.11,Medium
345816,cpu,7,27,Mar,2,14:38:12,2021,1,141696,192,6,6,1904.58,995.84,Medium
345817,cpu,7,28,Mar,2,21:34:24,2021,1,141696,192,6,6,1951.98,971.66,Medium
345818,cpu,7,29,Mar,2,16:06:49,2021,1,141696,192,6,6,1962.51,966.44,Medium
345820,cpu,7,31,Mar,2,15:21:05,2021,1,141696,192,6,6,2002.74,947.03,Medium
345822,cpu,7,32,Mar,2,22:17:17,2021,1,141696,192,6,6,1887.24,1005,High
345823,cpu,7,33,Mar,2,14:29:01,2021,1,141696,192,6,6,1967.95,963.77,Medium
345825,cpu,7,35,Mar,2,21:42:51,2021,1,141696,192,6,6,1958.92,968.22,Medium
