JobID,user,submitTime,startTime
754938,christan,Fri Apr 19 13:20:34 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754939,christan,Fri Apr 19 13:20:59 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754940,christan,Fri Apr 19 13:21:03 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754941,christan,Fri Apr 19 13:21:08 CDT 2019,Fri Apr 19 20:22:15 CDT 2019
754942,christan,Fri Apr 19 13:21:12 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754943,christan,Fri Apr 19 13:21:15 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754944,christan,Fri Apr 19 13:21:18 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754945,christan,Fri Apr 19 13:21:23 CDT 2019,Fri Apr 19 21:02:32 CDT 2019
754946,christan,Fri Apr 19 13:21:26 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754947,christan,Fri Apr 19 13:21:29 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754948,christan,Fri Apr 19 13:21:32 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754949,christan,Fri Apr 19 13:21:35 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754950,christan,Fri Apr 19 13:21:38 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754951,christan,Fri Apr 19 13:21:42 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754952,christan,Fri Apr 19 13:21:44 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754953,christan,Fri Apr 19 13:21:48 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754954,christan,Fri Apr 19 13:21:51 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754955,christan,Fri Apr 19 13:21:54 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754956,christan,Fri Apr 19 13:22:00 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754957,christan,Fri Apr 19 13:22:03 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754958,christan,Fri Apr 19 13:22:06 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754959,johruska,Fri Apr 19 13:26:01 CDT 2019,Fri Apr 19 13:58:12 CDT 2019
754565,obazgir,Thu Apr 18 19:46:28 CDT 2019,Thu Apr 18 19:52:49 CDT 2019
754980,rosutton,Fri Apr 19 17:05:29 CDT 2019,Fri Apr 19 21:21:20 CDT 2019
754981,hge,Fri Apr 19 17:08:30 CDT 2019,Sat Apr 20 02:42:44 CDT 2019
754982,hge,Fri Apr 19 17:09:04 CDT 2019,Sat Apr 20 06:40:16 CDT 2019
754988,pnourian,Fri Apr 19 18:19:49 CDT 2019,Sat Apr 20 06:27:35 CDT 2019
754989,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 07:01:33 CDT 2019
754990,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 19:36:49 CDT 2019
754991,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 21:30:07 CDT 2019
754992,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 21:30:58 CDT 2019
754993,pnourian,Fri Apr 19 18:36:12 CDT 2019,Sat Apr 20 21:32:27 CDT 2019
754911,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754917,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:59:57 CDT 2019
754923,christan,Fri Apr 19 13:19:19 CDT 2019,Fri Apr 19 17:35:29 CDT 2019
755096,kafroz,Fri Apr 19 22:26:45 CDT 2019,Fri Apr 19 22:33:00 CDT 2019
755101,msanati,Fri Apr 19 22:36:57 CDT 2019,Fri Apr 19 22:48:45 CDT 2019
755102,msanati,Fri Apr 19 22:41:44 CDT 2019,Fri Apr 19 23:59:12 CDT 2019
754085,che80809,Wed Apr 17 17:34:01 CDT 2019,Sat Apr 20 02:04:31 CDT 2019
754293,sabaty,Thu Apr 18 10:05:31 CDT 2019,Thu Apr 18 11:03:41 CDT 2019
755188,hge,Fri Apr 19 23:39:39 CDT 2019,Sat Apr 20 08:42:41 CDT 2019
755189,hge,Fri Apr 19 23:41:40 CDT 2019,Sat Apr 20 11:40:54 CDT 2019
755190,msanati,Sat Apr 20 01:18:50 CDT 2019,Sat Apr 20 01:18:50 CDT 2019
755192,msanati,Sat Apr 20 02:23:05 CDT 2019,Sat Apr 20 02:23:05 CDT 2019
755193,msanati,Sat Apr 20 02:25:24 CDT 2019,Sat Apr 20 02:42:43 CDT 2019
755194,msanati,Sat Apr 20 02:53:48 CDT 2019,Sat Apr 20 02:53:48 CDT 2019
755195,msanati,Sat Apr 20 02:54:56 CDT 2019,Sat Apr 20 02:54:56 CDT 2019
755196,msanati,Sat Apr 20 03:08:12 CDT 2019,Sat Apr 20 03:08:12 CDT 2019
755197,msanati,Sat Apr 20 03:08:28 CDT 2019,Sat Apr 20 03:09:16 CDT 2019
755198,msanati,Sat Apr 20 03:09:20 CDT 2019,Sat Apr 20 03:11:35 CDT 2019
755199,msanati,Sat Apr 20 03:55:29 CDT 2019,Sat Apr 20 03:55:30 CDT 2019
755200,msanati,Sat Apr 20 03:59:10 CDT 2019,Sat Apr 20 03:59:10 CDT 2019
755201,msanati,Sat Apr 20 04:00:39 CDT 2019,Sat Apr 20 04:00:39 CDT 2019
755204,janfisch,Sat Apr 20 09:43:21 CDT 2019,Sat Apr 20 09:43:22 CDT 2019
755205,wan39502,Sat Apr 20 09:50:15 CDT 2019,Sat Apr 20 09:50:15 CDT 2019
755206,janfisch,Sat Apr 20 10:22:44 CDT 2019,Sat Apr 20 10:22:44 CDT 2019
755209,jieyao,Sat Apr 20 10:45:17 CDT 2019,Sat Apr 20 20:52:45 CDT 2019
755213,stepcouc,Sat Apr 20 11:15:53 CDT 2019,Sat Apr 20 11:15:54 CDT 2019
755214,janfisch,Sat Apr 20 12:34:44 CDT 2019,Sat Apr 20 12:34:45 CDT 2019
755220,stepcouc,Sat Apr 20 13:13:18 CDT 2019,Sat Apr 20 13:13:18 CDT 2019
755221,msanati,Sat Apr 20 13:13:47 CDT 2019,Sat Apr 20 13:13:47 CDT 2019
755223,msanati,Sat Apr 20 13:15:46 CDT 2019,Sat Apr 20 13:15:46 CDT 2019
755224,uozuguze,Sat Apr 20 13:25:45 CDT 2019,Sat Apr 20 13:39:41 CDT 2019
755225,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755226,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755227,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755228,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755229,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755230,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
754207,rafiisla,Thu Apr 18 08:40:52 CDT 2019,Sat Apr 20 04:10:46 CDT 2019
755232,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
754209,rafiisla,Thu Apr 18 08:40:52 CDT 2019,Sat Apr 20 07:36:51 CDT 2019
755234,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
754211,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 20:11:44 CDT 2019
754212,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 21:06:20 CDT 2019
754213,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 21:40:19 CDT 2019
754214,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 22:04:36 CDT 2019
754215,rafiisla,Thu Apr 18 08:40:54 CDT 2019,Sat Apr 20 23:21:23 CDT 2019
755240,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755241,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755242,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755243,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755244,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755245,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755246,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755247,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755248,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755249,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755250,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:55:26 CDT 2019
755251,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 13:55:27 CDT 2019
755252,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:17 CDT 2019
755253,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755254,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755255,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755256,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755257,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755258,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755259,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:08:12 CDT 2019
755260,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:08:14 CDT 2019
755261,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 14:08:14 CDT 2019
755262,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 14:08:14 CDT 2019
755263,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:01:49 CDT 2019
755264,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:01:50 CDT 2019
755265,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:06:12 CDT 2019
755266,janfisch,Sat Apr 20 13:28:29 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755267,janfisch,Sat Apr 20 14:14:08 CDT 2019,Sat Apr 20 14:40:25 CDT 2019
755268,obazgir,Sat Apr 20 14:20:12 CDT 2019,Sat Apr 20 14:40:24 CDT 2019
755269,msanati,Sat Apr 20 14:39:07 CDT 2019,Sat Apr 20 14:40:25 CDT 2019
755270,msanati,Sat Apr 20 14:39:55 CDT 2019,Sat Apr 20 15:08:12 CDT 2019
755271,msanati,Sat Apr 20 14:40:48 CDT 2019,Sat Apr 20 15:28:01 CDT 2019
755272,msanati,Sat Apr 20 14:41:15 CDT 2019,Sat Apr 20 15:28:02 CDT 2019
755273,msanati,Sat Apr 20 14:42:17 CDT 2019,Sat Apr 20 17:27:15 CDT 2019
755274,msanati,Sat Apr 20 15:33:33 CDT 2019,Sat Apr 20 17:47:31 CDT 2019
755276,akitazum,Sat Apr 20 16:57:53 CDT 2019,Sat Apr 20 16:57:53 CDT 2019
755278,stepcouc,Sat Apr 20 17:36:00 CDT 2019,Sat Apr 20 17:36:00 CDT 2019
755283,rmanser,Sat Apr 20 17:43:45 CDT 2019,Sat Apr 20 17:47:31 CDT 2019
755284,rmanser,Sat Apr 20 17:43:48 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755286,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755287,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755288,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755289,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755290,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755291,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755292,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
