timestamp,192.168.13.108.443-CPU1TempTemperatureReading-TemperatureReading,192.168.13.108.443-CPU2TempTemperatureReading-TemperatureReading,192.168.13.108.443-CUPSSystemUsage-CPUUsage,192.168.13.108.443-CUPSSystemUsage-IOUsage,192.168.13.108.443-CUPSSystemUsage-MemoryUsage,192.168.13.108.443-CUPSSystemUsage-SystemUsage,192.168.13.108.443-Fan1RPMReading-RPMReading,192.168.13.108.443-Fan2RPMReading-RPMReading,192.168.13.108.443-Fan3RPMReading-RPMReading,192.168.13.108.443-Fan4RPMReading-RPMReading,192.168.13.108.443-Fan5RPMReading-RPMReading,192.168.13.108.443-Fan6RPMReading-RPMReading,192.168.13.108.443-DIMMSocketA1TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA2TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA3TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA4TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA5TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA6TemperatureReading-TemperatureReading,192.168.13.108.443-PowerMetricsTotalStoragePower-SystemPowerConsumption,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalCPUPower,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalMemoryPower,192.168.13.108.443-ThermalTotalPSUHeatDissipation-PowerToCoolRatio,192.168.13.108.443-ThermalTotalPSUHeatDissipation-SysAirflowPerSysInputPower
2020-03-25T17:40:02.200000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.201000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.327000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.449000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.569000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.674000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.805000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.806000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.937000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.057000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.179000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.307000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.421000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.538000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
