timestamp,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastDayAvg,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastWeekAvg,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-IoCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-IoCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-MemCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-MemCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastDayAvg,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastWeekAvg,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastWeekMax,10.150.3.100.443-FAN1A-CurrentReading,10.150.3.100.443-FAN1B-CurrentReading,10.150.3.100.443-FAN2A-CurrentReading,10.150.3.100.443-FAN2B-CurrentReading,10.150.3.100.443-FAN3A-CurrentReading,10.150.3.100.443-FAN3B-CurrentReading,10.150.3.100.443-FAN4A-CurrentReading,10.150.3.100.443-FAN4B-CurrentReading,10.150.3.100.443-PS1Status-InputVoltage,10.150.3.100.443-PS2Status-InputVoltage,10.150.3.100.443-PS1Voltage1-CurrentReading,10.150.3.100.443-PS2Voltage2-CurrentReading,10.150.3.100.443-CPU1Temp-CurrentReading,10.150.3.100.443-CPU2Temp-CurrentReading,10.150.3.100.443-InletTemp-CurrentReading
2019-07-12T19:25:30.006000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7654,9460,7654,206,208,206,206,34,34,21
2019-07-12T19:26:00.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9546,7740,9546,7740,9546,7740,9460,7740,206,208,206,206,34,34,21
2019-07-12T19:26:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7654,9460,7654,208,206,208,208,34,34,21
2019-07-12T19:27:00.017000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7740,9460,7654,9460,7740,206,208,206,206,34,34,21
2019-07-12T19:27:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7740,9546,7740,9460,7740,206,206,206,208,34,34,21
2019-07-12T19:28:00.018000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7568,9460,7654,206,208,206,208,34,34,20
2019-07-12T19:28:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:29:00.004000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9460,7654,208,208,208,206,34,34,20
2019-07-12T19:29:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9374,7654,208,208,208,208,34,34,20
2019-07-12T19:30:00.013000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9374,7654,208,208,208,208,34,34,20
2019-07-12T19:30:30.007000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9374,7654,208,208,208,208,34,34,20
2019-07-12T19:31:00.012000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9374,7654,206,208,206,208,34,34,20
2019-07-12T19:31:30.005000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9546,7654,9460,7654,206,208,206,206,34,34,20
2019-07-12T19:32:00.006000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,206,206,206,206,34,34,20
2019-07-12T19:32:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,206,208,208,34,34,20
2019-07-12T19:33:00.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:33:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9374,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:34:00.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9374,7654,9374,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:34:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9374,7654,9374,7568,9460,7654,208,208,208,206,34,34,20
2019-07-12T19:35:00.002000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9374,7654,9374,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:35:30.006000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9374,7568,9460,7654,206,208,206,208,34,34,20
2019-07-12T19:36:00.004000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9460,7568,9460,7654,206,208,206,208,34,34,21
2019-07-12T19:36:30.003000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9374,7568,9460,7654,206,208,206,208,34,34,21
2019-07-12T19:37:00.005000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9460,7568,9460,7654,206,208,206,206,34,34,20
2019-07-12T19:37:30.003000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9546,7654,9460,7654,208,206,208,208,34,34,20
2019-07-12T19:38:00.015000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:38:30.005000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7740,9460,7740,9460,7740,9460,7740,208,208,208,208,34,34,20
2019-07-12T19:39:00.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:39:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,206,206,206,208,34,34,21
2019-07-12T19:40:00.002000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,20
2019-07-12T19:40:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9374,7654,9460,7568,9460,7654,206,206,206,208,34,34,21
2019-07-12T19:41:00.013000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9546,7654,9460,7654,206,206,206,208,34,34,21
2019-07-12T19:41:30.007000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9546,7654,9460,7654,208,208,208,208,34,34,21
